"코드","발주처명","상위코드"
"GGGGG","덕소강변현대홈타운","GGGGG"
"GGGGG","킨텍스원시티 2블럭","GGGGG"
"GGGGG","산본소월아파트","GGGGG"
"GGGGG","더샵남천프레스티지아파트","GGGGG"
"GGGGG","화순 한양립스 아파트","GGGGG"
"GGGGG","주례대성","GGGGG"
"GGGGG","광정목련한양","GGGGG"
"GGGGG","장유경동리인하이스트","GGGGG"
"GGGGG","청주하트리움리버파크","GGGGG"
"GGGGG","장림동원로얄듀크","GGGGG"
"GGGGG","구로중앙하이츠아파트","GGGGG"
"GGGGG","효성화운트빌","GGGGG"
"GGGGG","은평뉴타운박석고개1단지","GGGGG"
"GGGGG","잠실엘스아파트","GGGGG"
"GGGGG","서울역한라비발디센트럴아파트","GGGGG"
"GGGGG","봉담중흥S클래스더센트럴","GGGGG"
"GGGGG","제원","GGGGG"
"GGGGG","과천푸르지오라비엔오아파트","GGGGG"
"GGGGG","의정부 민락청구1차","GGGGG"
"GGGGG","산본무궁화주공1단지","GGGGG"
"GGGGG","태전아이파크아파트","GGGGG"
"GGGGG","벽산블루밍1, 2단지","GGGGG"
"GGGGG","오포대주파크빌1차","GGGGG"
"GGGGG","제석산호반힐하임","GGGGG"
"GGGGG","문수로아이파크1단지","GGGGG"
"GGGGG","호계2차현대홈타운","GGGGG"
"GGGGG","수성범어W아파트","GGGGG"
"GGGGG","푸른마을푸르지오","GGGGG"
"GGGGG","래미안솔베뉴","GGGGG"
"GGGGG","호암두진하트리움아파트","GGGGG"
"GGGGG","김포전원마을월드4단지","GGGGG"
"GGGGG","녹동주공아파트","GGGGG"
"GGGGG","청주테크노폴리스우미린","GGGGG"
"GGGGG","함안칠원LH","GGGGG"
"GGGGG","주상복합아남","GGGGG"
"GGGGG","덕소한강우성","GGGGG"
"GGGGG","위례더힐55","GGGGG"
"GGGGG","제일파크","GGGGG"
"GGGGG","(주)이오티앤디 반월자이더 파크아파트","GGGGG"
"GGGGG","광주센트럴푸르지오","GGGGG"
"GGGGG","청라제일풍경채2차에듀앤파크","GGGGG"
"GGGGG","더샵 송도센트럴파크 3차","GGGGG"
"GGGGG","목천 동우1차아파트","GGGGG"
"GGGGG","풍암1차호반아파트","GGGGG"
"GGGGG","거모아주3차","GGGGG"
"GGGGG","우미파렌하이트","GGGGG"
"GGGGG","용산모아엘가에듀파크","GGGGG"
"GGGGG","산곡 한화2차 아파트","GGGGG"
"GGGGG","아르젠아파트","GGGGG"
"GGGGG","미사강변스타힐스","GGGGG"
"GGGGG","골든리버아파트","GGGGG"
"GGGGG","도램마을20단지","GGGGG"
"GGGGG","힐스테이트자이논산아파트","GGGGG"
"GGGGG","잠실더샵스타파크","GGGGG"
"GGGGG","마포도화우성아파트","GGGGG"
"GGGGG","장림극동정림아파트","GGGGG"
"GGGGG","영종한신더휴스카이파크아파트","GGGGG"
"GGGGG","씨티해오름","GGGGG"
"GGGGG","우암덕일한마음아파트","GGGGG"
"GGGGG","옥련원흥","GGGGG"
"GGGGG","고산동우더리치아파트","GGGGG"
"GGGGG","은평뉴타운우물골6단지","GGGGG"
"GGGGG","푸른마을1단지","GGGGG"
"GGGGG","일신파크맨션","GGGGG"
"GGGGG","광우보람맨션","GGGGG"
"GGGGG","제일훼미리","GGGGG"
"GGGGG","남천코오롱하늘채골든비치","GGGGG"
"GGGGG","부평 경남1차 아파트","GGGGG"
"GGGGG","청룡경동아파트","GGGGG"
"GGGGG","한강동일스위트더파크뷰2단지","GGGGG"
"GGGGG","별내하우스토리","GGGGG"
"GGGGG","평창올림픽선수촌아파트","GGGGG"
"GGGGG","초원성원","GGGGG"
"GGGGG","동탄호수공원금강펜테리움센트럴파크2차","GGGGG"
"GGGGG","옥포미진무지개","GGGGG"
"GGGGG","도화현대","GGGGG"
"GGGGG","상평대림","GGGGG"
"GGGGG","동부2차","GGGGG"
"GGGGG","속초 kcc스위첸 아파트","GGGGG"
"GGGGG","만촌우방팔레스","GGGGG"
"GGGGG","파주운정우미린센터포레","GGGGG"
"GGGGG","e편한세상순천 1.2단지","GGGGG"
"GGGGG","동우1차","GGGGG"
"GGGGG","뉴타운아파트","GGGGG"
"GGGGG","더샵인천스카이타워1단지아파트","GGGGG"
"GGGGG","동진그린힐아파트","GGGGG"
"GGGGG","당산현대5차","GGGGG"
"GGGGG","영천미소지움프리미엄","GGGGG"
"GGGGG","라인2차","GGGGG"
"GGGGG","청라웰카운티1차아파트","GGGGG"
"GGGGG","거제더샵블루시티아파트","GGGGG"
"GGGGG","우미타운아파트","GGGGG"
"GGGGG","양주 율정마을 13단지","GGGGG"
"GGGGG","삼성버킹궁","GGGGG"
"GGGGG","극동2차아파트","GGGGG"
"GGGGG","수정한양아파트","GGGGG"
"GGGGG","용산센트럴파크","GGGGG"
"GGGGG","신안아파트","GGGGG"
"GGGGG","현동중흥s-클래스프라디움3차아파트","GGGGG"
"GGGGG","양산유탑유블레스하늘리에아파트","GGGGG"
"GGGGG","조례주공7차아파트","GGGGG"
"GGGGG","한신더휴아파트","GGGGG"
"GGGGG","명륜동보노빌리티1차","GGGGG"
"GGGGG","서초래미안","GGGGG"
"GGGGG","동산동 제일2차","GGGGG"
"GGGGG","신포천","GGGGG"
"GGGGG","목동금호어울림","GGGGG"
"GGGGG","옥정 센트럴파크 푸르지오 아파트","GGGGG"
"GGGGG","풍암중흥3차","GGGGG"
"GGGGG","은행4차푸르지오","GGGGG"
"GGGGG","래미안포레","GGGGG"
"GGGGG","더샵달서센트럴","GGGGG"
"GGGGG","대동다숲아파트","GGGGG"
"GGGGG","새샘마을8단지아파트","GGGGG"
"GGGGG","울산대현더샵2단지","GGGGG"
"GGGGG","사직쌍용예가","GGGGG"
"GGGGG","태전우방타운","GGGGG"
"GGGGG","내동코오롱","GGGGG"
"GGGGG","상무3단지금호타운","GGGGG"
"GGGGG","호반써밋 고덕국제신도시 에듀파크","GGGGG"
"GGGGG","SK뷰파크3차","GGGGG"
"GGGGG","유강코아루2단지아파트","GGGGG"
"GGGGG","장항 금강아파트","GGGGG"
"GGGGG","새뜸마을10단지아파트","GGGGG"
"GGGGG","칠곡북삼서희스타힐스더퍼스트","GGGGG"
"GGGGG","호반베르디움센트로하임아파트","GGGGG"
"GGGGG","벽산 아스타","GGGGG"
"GGGGG","청주모충LH트릴로채아파트","GGGGG"
"GGGGG","송천동라이프아파트","GGGGG"
"GGGGG","삼천포예미지아파트","GGGGG"
"GGGGG","반도유보라 아이비파크","GGGGG"
"GGGGG","지산화성맨션","GGGGG"
"GGGGG","월드메르디앙센트럴파크7단지","GGGGG"
"GGGGG","배곧호반써밋플레이스C1아파트","GGGGG"
"GGGGG","비산삼성래미안아파트","GGGGG"
"GGGGG","청구나래","GGGGG"
"GGGGG","청천푸르지오아파트","GGGGG"
"GGGGG","죽곡한신휴플러스","GGGGG"
"GGGGG","경산옥곡한일유앤아이","GGGGG"
"GGGGG","아이지파크","GGGGG"
"GGGGG","백석가야5차","GGGGG"
"GGGGG","호탄삼성","GGGGG"
"GGGGG","굴화강변월드메르디앙","GGGGG"
"GGGGG","연곡3단지부영","GGGGG"
"GGGGG","평촌더샵아이파크아파트","GGGGG"
"GGGGG","위시티일산자이1단지","GGGGG"
"GGGGG","내포효성해링턴플레이스","GGGGG"
"GGGGG","이안원주어반파크","GGGGG"
"GGGGG","동탄호수공원리슈빌아파트","GGGGG"
"GGGGG","호반베르디움 더센트럴2","GGGGG"
"GGGGG","여수부영3차","GGGGG"
"GGGGG","반포힐스테이트","GGGGG"
"GGGGG","이시아폴리스더샵1차","GGGGG"
"GGGGG","광명아파트","GGGGG"
"GGGGG","전주 만성 LH퍼스트리움아파트","GGGGG"
"GGGGG","신암보성아파트","GGGGG"
"GGGGG","송현우방맨션","GGGGG"
"GGGGG","마곡엠밸리9단지","GGGGG"
"GGGGG","내포신도시 경남아너스빌 아파트","GGGGG"
"GGGGG","e편한세상 옥정 더퍼스트 아파트","GGGGG"
"GGGGG","성당에덴타운","GGGGG"
"GGGGG","갈현한솔아파트","GGGGG"
"GGGGG","천안불당호반써밋플레이스","GGGGG"
"GGGGG","범박파밀리에포레스트","GGGGG"
"GGGGG","가좌신현대아파트","GGGGG"
"GGGGG","아트빌아파트","GGGGG"
"GGGGG","익산더샵아파트","GGGGG"
"GGGGG","조례주공3차","GGGGG"
"GGGGG","노블파크","GGGGG"
"GGGGG","정관이진캐스빌","GGGGG"
"GGGGG","진해남문리젠시빌란트","GGGGG"
"GGGGG","익산e편한세상","GGGGG"
"GGGGG","래미안 장전","GGGGG"
"GGGGG","매교역 푸르지오 SK VIEW 아파트","GGGGG"
"GGGGG","옥길호반베르디움아파트","GGGGG"
"GGGGG","e편한세상신곡파크비스타","GGGGG"
"GGGGG","광장11현대홈타운","GGGGG"
"GGGGG","목련8단지 경남동아아파트","GGGGG"
"GGGGG","대방노블랜드","GGGGG"
"GGGGG","화봉휴먼시아","GGGGG"
"GGGGG","일광자이푸르지오1단지","GGGGG"
"GGGGG","반포자이","GGGGG"
"GGGGG","일광자이푸르지오 2단지","GGGGG"
"GGGGG","제일신천지아파트","GGGGG"
"GGGGG","초량동반도보라스카이뷰","GGGGG"
"GGGGG","블루마시티KCC스위첸아파트","GGGGG"
"GGGGG","대우로얄아파트","GGGGG"
"GGGGG","청주푸르지오.캐슬아파트","GGGGG"
"GGGGG","중동유니시티4단지","GGGGG"
"GGGGG","김해센텀Q시티아파트","GGGGG"
"GGGGG","논현휴먼시아동산마을","GGGGG"
"GGGGG","홍제무악청구1차","GGGGG"
"GGGGG","녹산현대","GGGGG"
"GGGGG","청주율량2LH2단지","GGGGG"
"GGGGG","일광신도시 비스타동원2차아파트","GGGGG"
"GGGGG","의정부역센트럴자이앤위브캐슬","GGGGG"
"GGGGG","명륜동 힐스테이트","GGGGG"
"GGGGG","김해센텀 두산위브더제니스","GGGGG"
"GGGGG","힐스테이트녹번","GGGGG"
"GGGGG","대경강남타운","GGGGG"
"GGGGG","광안쌍용예가디오션","GGGGG"
"GGGGG","양정현대2차아파트","GGGGG"
"GGGGG","백련산힐스테이트1차","GGGGG"
"GGGGG","초전 해모로 루비채 2단지","GGGGG"
"GGGGG","부평현대1단지","GGGGG"
"GGGGG","호수마을아파트","GGGGG"
"GGGGG","포레나 인천연수아파트","GGGGG"
"GGGGG","현화성원아파트","GGGGG"
"GGGGG","동천자이아파트","GGGGG"
"GGGGG","문수산푸르지오","GGGGG"
"GGGGG","원주 봉화산 푸르지오","GGGGG"
"GGGGG","청학 서해 아파트","GGGGG"
"GGGGG","풍경마을 래미안 한강2차","GGGGG"
"GGGGG","개포대치2단지","GGGGG"
"GGGGG","창원 중동 유니시티 2단지","GGGGG"
"GGGGG","가재마을12단지아파트","GGGGG"
"GGGGG","마두백마마을5단지쌍용한성","GGGGG"
"GGGGG","운정신도시아이파크","GGGGG"
"GGGGG","지축역센트럴푸르지오","GGGGG"
"GGGGG","선우","GGGGG"
"GGGGG","남천동원로얄듀크","GGGGG"
"GGGGG","화명뜨란채","GGGGG"
"GGGGG","미사강변센트럴풍경채아파트","GGGGG"
"GGGGG","노은한화꿈에그린2단지","GGGGG"
"GGGGG","DMC센트럴아이파크","GGGGG"
"GGGGG","마포자이 더 센트리지 아파트","GGGGG"
"GGGGG","일신","GGGGG"
"GGGGG","삼보아파트","GGGGG"
"GGGGG","꿈의숲롯데캐슬아파트","GGGGG"
"GGGGG","래미안블레스티지","GGGGG"
"GGGGG","코아루에듀파크","GGGGG"
"GGGGG","초월롯데캐슬아파트","GGGGG"
"GGGGG","동남우미린풀하우스","GGGGG"
"GGGGG","대신롯데캐슬아파트","GGGGG"
"GGGGG","일곡1차 현대","GGGGG"
"GGGGG","KCC스위첸","GGGGG"
"GGGGG","월성코오롱하늘채1단지","GGGGG"
"GGGGG","래미안안양메가트리아","GGGGG"
"GGGGG","진주문산코아루","GGGGG"
"GGGGG","백석푸르지오","GGGGG"
"GGGGG","조례명지장미아파트","GGGGG"
"GGGGG","힐스테이트상도센트럴파크","GGGGG"
"GGGGG","연향현대1차","GGGGG"
"GGGGG","신서동신일해피트리","GGGGG"
"GGGGG","성호2-2차","GGGGG"
"GGGGG","신당삼성(분양)","GGGGG"
"GGGGG","판교푸르지오그랑블","GGGGG"
"GGGGG","안락1차SK아파트","GGGGG"
"GGGGG","금호어울림아파트","GGGGG"
"GGGGG","힐스테이트 율곡","GGGGG"
"GGGGG","수루배마을2단지아파트","GGGGG"
"GGGGG","당하 푸르지오아파트","GGGGG"
"GGGGG","화곡초록","GGGGG"
"GGGGG","송도 더샵 그린워크3차 18-1BL","GGGGG"
"GGGGG","연성삼성","GGGGG"
"GGGGG","요진보네르카운티2차","GGGGG"
"GGGGG","민속마을현대모닝사이드","GGGGG"
"GGGGG","한양수자인","GGGGG"
"GGGGG","연수1차대림","GGGGG"
"GGGGG","명지국제신도시호반베르디움2차","GGGGG"
"GGGGG","대연롯데캐슬레전드","GGGGG"
"GGGGG","경산사동2차부영아파트","GGGGG"
"GGGGG","서현효자촌그린타운","GGGGG"
"GGGGG","한마음1차아파트","GGGGG"
"GGGGG","남악신도시아이파크","GGGGG"
"GGGGG","제일풍경채 센트럴파크 1단지","GGGGG"
"GGGGG","청구하이츠아파트","GGGGG"
"GGGGG","풍무센트럴푸르지오","GGGGG"
"GGGGG","용문동한마음아파트입주자대표회의","GGGGG"
"GGGGG","쌍용 더 플래티넘 밀양아파트","GGGGG"
"GGGGG","수원권선꿈에그린아파트","GGGGG"
"GGGGG","신동아아파트","GGGGG"
"GGGGG","문수원앙","GGGGG"
"GGGGG","반포 르엘 아파트","GGGGG"
"GGGGG","가곡신영아파트","GGGGG"
"GGGGG","백석백송마을7단지임광","GGGGG"
"GGGGG","영통신나무실신원미주","GGGGG"
"GGGGG","개신삼익1차아파트","GGGGG"
"GGGGG","래미안에스티움","GGGGG"
"GGGGG","장유 덕산아내에코캐슬 아파트","GGGGG"
"GGGGG","힐스테이트평택2차","GGGGG"
"GGGGG","자이온더퍼스트","GGGGG"
"GGGGG","구로한신1차","GGGGG"
"GGGGG","춘천 장학 부영 사랑으로 아파트","GGGGG"
"GGGGG","일산파밀리에 2단지","GGGGG"
"GGGGG","월성e-편한세상","GGGGG"
"GGGGG","반포리체","GGGGG"
"GGGGG","예산행정타운 신동아���밀���에아파���","GGGGG"
"GGGGG","노변다숲","GGGGG"
"GGGGG","유보라아이비파크 10.0 2단지","GGGGG"
"GGGGG","첫마을1단지","GGGGG"
"GGGGG","간석 우성1차 아파트","GGGGG"
"GGGGG","새재마을 대동아파트","GGGGG"
"GGGGG","염창태진한솔","GGGGG"
"GGGGG","더레이크시티부영2단지아파트","GGGGG"
"GGGGG","래미안��브","GGGGG"
"GGGGG","한양아파트","GGGGG"
"GGGGG","거제1차현대홈타운","GGGGG"
"GGGGG","홍성 미림청솔아파트","GGGGG"
"GGGGG","서산고운라피네아파트","GGGGG"
"GGGGG","더샵부평센트럴시티","GGGGG"
"GGGGG","웅상화성파크드림","GGGGG"
"GGGGG","신동아","GGGGG"
"GGGGG","남양산역 반도유보라 아이비파크6.0 아파트","GGGGG"
"GGGGG","광려천부영벽산2차","GGGGG"
"GGGGG","범박휴먼시아1단지","GGGGG"
"GGGGG","우성아파트","GGGGG"
"GGGGG","장대푸르지오아파트","GGGGG"
"GGGGG","자연앤꿈에그린6단지","GGGGG"
"GGGGG","더샵 리비테르 2차","GGGGG"
"GGGGG","목동1단지","GGGGG"
"GGGGG","초곡삼구트리니엔시티","GGGGG"
"GGGGG","거제오션파크자이아파트","GGGGG"
"GGGGG","대구테크노폴리스예미지더센트럴","GGGGG"
"GGGGG","등촌IPARK","GGGGG"
"GGGGG","장미마을 삼성래미안2차","GGGGG"
"GGGGG","달서유림노르웨이숲","GGGGG"
"GGGGG","군문주공1단지","GGGGG"
"GGGGG","반달마을푸르지오","GGGGG"
"GGGGG","동서학동 진흥하이츠","GGGGG"
"GGGGG","공세대주피오레2단지","GGGGG"
"GGGGG","휴먼시아동화마을5단지","GGGGG"
"GGGGG","e편한세상부산항","GGGGG"
"GGGGG","경산현대아파트","GGGGG"
"GGGGG","신성김해미소지움","GGGGG"
"GGGGG","동일하이빌뉴시티","GGGGG"
"GGGGG","이안오창아파트","GGGGG"
"GGGGG","공릉현대","GGGGG"
"GGGGG","율상마을모아미래도6단지","GGGGG"
"GGGGG","종로청계힐스테이트","GGGGG"
"GGGGG","일산아이파크5단지","GGGGG"
"GGGGG","계산극동아파트","GGGGG"
"GGGGG","우방신세계타운아파트","GGGGG"
"GGGGG","칠곡2차한라타운","GGGGG"
"GGGGG","천왕연지타운2단지","GGGGG"
"GGGGG","율하리버파크뷰","GGGGG"
"GGGGG","오산시티자이2단지아파트","GGGGG"
"GGGGG","해운대현대","GGGGG"
"GGGGG","매화주공아파트","GGGGG"
"GGGGG","화명푸르지오헤리센트","GGGGG"
"GGGGG","경림아파트","GGGGG"
"GGGGG","김포 사우 아이파크","GGGGG"
"GGGGG","위례 자연&래미안e편한세상","GGGGG"
"GGGGG","금산주공","GGGGG"
"GGGGG","강서힐스테이트아파트","GGGGG"
"GGGGG","대치미도맨션","GGGGG"
"GGGGG","순천 연향송보파인빌 아파트","GGGGG"
"GGGGG","탄벌우림루미아트","GGGGG"
"GGGGG","경희궁자이4단지주상복합","GGGGG"
"GGGGG","2차 그린맨션","GGGGG"
"GGGGG","DMC래미안e편한세상","GGGGG"
"GGGGG","이안센트럴D","GGGGG"
"GGGGG","송산대방1차","GGGGG"
"GGGGG","한양은하","GGGGG"
"GGGGG","목동2단지","GGGGG"
"GGGGG","호반1차","GGGGG"
"GGGGG","월계시영고층","GGGGG"
"GGGGG","보문파크뷰자이아파트","GGGGG"
"GGGGG","초롱꽃마을 3단지","GGGGG"
"GGGGG","현대타워아파트","GGGGG"
"GGGGG","답십리대우","GGGGG"
"GGGGG","봉명푸른아파트","GGGGG"
"GGGGG","중흥S클래스1단지","GGGGG"
"GGGGG","오목천청구2차","GGGGG"
"GGGGG","광교에일린의뜰","GGGGG"
"GGGGG","동신아파트","GGGGG"
"GGGGG","대유대림","GGGGG"
"GGGGG","용산더프라임","GGGGG"
"GGGGG","오남두산위브","GGGGG"
"GGGGG","강정중흥S클래스","GGGGG"
"GGGGG","광교경남아너스빌","GGGGG"
"GGGGG","오스타파라곤3단지","GGGGG"
"GGGGG","북정동원","GGGGG"
"GGGGG","해밀마을신안인스빌","GGGGG"
"GGGGG","용담마을아파트","GGGGG"
"GGGGG","광양남해오네뜨","GGGGG"
"GGGGG","동수원 자이2차 아파트","GGGGG"
"GGGGG","광명해모로이연","GGGGG"
"GGGGG","도안휴먼시아4단지","GGGGG"
"GGGGG","반석블레스","GGGGG"
"GGGGG","루원시티센트럴타운아파트","GGGGG"
"GGGGG","리버파크자이 아파트","GGGGG"
"GGGGG","분평주공4-2단지아파트","GGGGG"
"GGGGG","한일휴니스빌","GGGGG"
"GGGGG","일산에듀포레푸르지오","GGGGG"
"GGGGG","석미모닝파크아파트","GGGGG"
"GGGGG","삼성청담공원","GGGGG"
"GGGGG","초당현대아파트","GGGGG"
"GGGGG","수성골드클래스더센텀","GGGGG"
"GGGGG","성남샤르망아파트","GGGGG"
"GGGGG","삼풍그린2차","GGGGG"
"GGGGG","개포1차2차우성","GGGGG"
"GGGGG","호려울마을9단지아파트","GGGGG"
"GGGGG","오동동다숲아파트","GGGGG"
"GGGGG","모충주공1단지아파트","GGGGG"
"GGGGG","평택지제역자이아파트","GGGGG"
"GGGGG","마곡엠밸리6단지","GGGGG"
"GGGGG","금강엑슬루타워아파트","GGGGG"
"GGGGG","수완현진에버빌2단지","GGGGG"
"GGGGG","서창청광플러스원아파트","GGGGG"
"GGGGG","위시티일산자이2단지","GGGGG"
"GGGGG","고덕아이파크아파트","GGGGG"
"GGGGG","동보1차","GGGGG"
"GGGGG","거제엘크루랜드마크","GGGGG"
"GGGGG","수서가람","GGGGG"
"GGGGG","덕소두산위브","GGGGG"
"GGGGG","무등파크맨션","GGGGG"
"GGGGG","양우내안애리버시티1차아파트","GGGGG"
"GGGGG","장성현대아파트","GGGGG"
"GGGGG","빛가람 이지더원아파트","GGGGG"
"GGGGG","벽산첼시빌2","GGGGG"
"GGGGG","오산시티자이2차아파트","GGGGG"
"GGGGG","벽산블루밍2단지","GGGGG"
"GGGGG","동남칸타빌더테라스2단지","GGGGG"
"GGGGG","인천에스케이스카이뷰","GGGGG"
"GGGGG","루원시티 SK리더스뷰","GGGGG"
"GGGGG","미사강변14단지","GGGGG"
"GGGGG","산북동하늘가1차","GGGGG"
"GGGGG","율하중앙하이츠","GGGGG"
"GGGGG","LH동분당센트럴파크아파트","GGGGG"
"GGGGG","여서현대산업3차아파트","GGGGG"
"GGGGG","구서동롯데캐슬골드2단지(1049)","GGGGG"
"GGGGG","첨단사랑으로7차부영","GGGGG"
"GGGGG","진건화성","GGGGG"
"GGGGG","덕소주공2차","GGGGG"
"GGGGG","라인하이츠","GGGGG"
"GGGGG","상인동화태왕타운","GGGGG"
"GGGGG","해운대 LCT 더샵아파트","GGGGG"
"GGGGG","연산자이","GGGGG"
"GGGGG","도안신도시수목토","GGGGG"
"GGGGG","금호2차","GGGGG"
"GGGGG","포항장성푸르지오","GGGGG"
"GGGGG","압구정신현대","GGGGG"
"GGGGG","호반2차리젠시빌","GGGGG"
"GGGGG","두산알프하임","GGGGG"
"GGGGG","달천아이파크2차","GGGGG"
"GGGGG","순천두산위브2단지","GGGGG"
"GGGGG","수성우방팔레스","GGGGG"
"GGGGG","옥계현진에버빌엠파이어","GGGGG"
"GGGGG","학익엑슬루타워","GGGGG"
"GGGGG","광주한성1차아파트","GGGGG"
"GGGGG","도안13블럭금성백조예미지","GGGGG"
"GGGGG","목감가온수플아파트","GGGGG"
"GGGGG","경희궁자이3단지","GGGGG"
"GGGGG","대전목동더샵리슈빌","GGGGG"
"GGGGG","쌍촌동현대아파트","GGGGG"
"GGGGG","창동북한산아이파크","GGGGG"
"GGGGG","음성대소사랑으로부영","GGGGG"
"GGGGG","포레나노원 아파트","GGGGG"
"GGGGG","잠실동트리지움","GGGGG"
"GGGGG","범양프레체","GGGGG"
"GGGGG","광교푸르지오월드마크","GGGGG"
"GGGGG","압구정한양아파트제1단지","GGGGG"
"GGGGG","대덕테크노밸리12단지","GGGGG"
"GGGGG","개포2차 현대아파트","GGGGG"
"GGGGG","래미안힐스테이트 고덕","GGGGG"
"GGGGG","삼계서희스타힐스아파트","GGGGG"
"GGGGG","음성삼성휴먼시아","GGGGG"
"GGGGG","한라비발디","GGGGG"
"GGGGG","권선자이e편한세상","GGGGG"
"GGGGG","용지더샵레이크파크아파트","GGGGG"
"GGGGG","풍암부영2차","GGGGG"
"GGGGG","일산동문1차","GGGGG"
"GGGGG","도곡개포한신아파트","GGGGG"
"GGGGG","반곡아이파크","GGGGG"
"GGGGG","금호동종원팰리스빌","GGGGG"
"GGGGG","이지더원2차아파트","GGGGG"
"GGGGG","서천마을쌍용예가","GGGGG"
"GGGGG","가락마을19단지 아파트","GGGGG"
"GGGGG","정자정든마을동아1차","GGGGG"
"GGGGG","순천금당우미2차아파트","GGGGG"
"GGGGG","대연힐스테이트푸르지오","GGGGG"
"GGGGG","안성동신아파트","GGGGG"
"GGGGG","쌍용더플래티넘고산엔에이치에프","GGGGG"
"GGGGG","송도대림아파트","GGGGG"
"GGGGG","루원더퍼스트아파트","GGGGG"
"GGGGG","동원베네스트 영종타운하우스","GGGGG"
"GGGGG","춘천뜨란채아파트","GGGGG"
"GGGGG","더레이크시티부영3단지(동탄2)","GGGGG"
"GGGGG","과천래미안슈르","GGGGG"
"GGGGG","신부동 도솔노블시티 동문굿모닝힐아파트","GGGGG"
"GGGGG","쌍용예가","GGGGG"
"GGGGG","LG한강자이","GGGGG"
"GGGGG","메트로팔레스3단지","GGGGG"
"GGGGG","자양우성3차","GGGGG"
"GGGGG","백양푸른채","GGGGG"
"GGGGG","운암벽산블루밍메가시티2단지","GGGGG"
"GGGGG","가흥현대아파트","GGGGG"
"GGGGG","덕림제일파크","GGGGG"
"GGGGG","포레나 여수 웅천2단지아파트","GGGGG"
"GGGGG","범어쌍용예가","GGGGG"
"GGGGG","산곡 경남4차 아파트","GGGGG"
"GGGGG","성원1차아파트","GGGGG"
"GGGGG","감계 힐스테이트 4차 아파트","GGGGG"
"GGGGG","옥정역 로제비앙 메트로파크 1단지","GGGGG"
"GGGGG","대원칸타빌","GGGGG"
"GGGGG","광천e편한세상아파트","GGGGG"
"GGGGG","약사아이파크","GGGGG"
"GGGGG","한강센트럴자이1단지","GGGGG"
"GGGGG","광교자연앤자이3단지 아파트","GGGGG"
"GGGGG","우방드림시티","GGGGG"
"GGGGG","삼익2차아파트","GGGGG"
"GGGGG","일동미라주","GGGGG"
"GGGGG","용호동부타워아파트","GGGGG"
"GGGGG","청현마을 두진","GGGGG"
"GGGGG","대림e편한세상사하1차아파트","GGGGG"
"GGGGG","등촌주공10단지","GGGGG"
"GGGGG","목동e-편한세상","GGGGG"
"GGGGG","다산 롯데캐슬아파트","GGGGG"
"GGGGG","e편한세상 둔산아파트","GGGGG"
"GGGGG","포천 모아엘가 리더스파크","GGGGG"
"GGGGG","양산일양하이츠아파트","GGGGG"
"GGGGG","창포3차아이파크","GGGGG"
"GGGGG","센텀비스타동원아파트","GGGGG"
"GGGGG","민속마을 신창미션힐","GGGGG"
"GGGGG","신천지1차","GGGGG"
"GGGGG","해운대아이파크","GGGGG"
"GGGGG","목동11단지","GGGGG"
"GGGGG","대광로제비앙 더메트로팰리스","GGGGG"
"GGGGG","공작한양아파트","GGGGG"
"GGGGG","3차그린맨션","GGGGG"
"GGGGG","풍기한양아파트","GGGGG"
"GGGGG","마곡신안","GGGGG"
"GGGGG","송도더샵퍼스트월드","GGGGG"
"GGGGG","첫마을4단지","GGGGG"
"GGGGG","성서주공6-1단지","GGGGG"
"GGGGG","가락쌍용1차","GGGGG"
"GGGGG","도곡대림아크로빌","GGGGG"
"GGGGG","칠곡대백맨션(1차)","GGGGG"
"GGGGG","이지더원5차","GGGGG"
"GGGGG","수송동영","GGGGG"
"GGGGG","여수 죽림호반베르디움 아파트","GGGGG"
"GGGGG","해운대LIG건영아파트","GGGGG"
"GGGGG","충주호암제일풍경채아파트","GGGGG"
"GGGGG","서울숲더샵","GGGGG"
"GGGGG","은평뉴타운상림마을12단지","GGGGG"
"GGGGG","벽산늘푸른","GGGGG"
"GGGGG","신일해피트리","GGGGG"
"GGGGG","샘마을임광","GGGGG"
"GGGGG","힐스테이트광교아파트","GGGGG"
"GGGGG","성서동서서한타운","GGGGG"
"GGGGG","송도자이하버뷰1단지","GGGGG"
"GGGGG","천안시티자이아파트","GGGGG"
"GGGGG","구월 힐스테이트&롯데캐슬골드","GGGGG"
"GGGGG","당산푸르지오","GGGGG"
"GGGGG","천산스카이빌3차아파트","GGGGG"
"GGGGG","펜타뷰아파트","GGGGG"
"GGGGG","쌍용예가클래식","GGGGG"
"GGGGG","래미안노블클래스1단지2단지","GGGGG"
"GGGGG","삼보타운3차아파트","GGGGG"
"GGGGG","검암역 로열파크씨티푸르지오2단지","GGGGG"
"GGGGG","신길건영","GGGGG"
"GGGGG","더샵리비테르1차","GGGGG"
"GGGGG","엘크루블루오션C3","GGGGG"
"GGGGG","엄궁롯데캐슬리버아파트","GGGGG"
"GGGGG","망정4주공아파트","GGGGG"
"GGGGG","동일스위트더파크","GGGGG"
"GGGGG","해운대한일아파트","GGGGG"
"GGGGG","신성근화미소지움","GGGGG"
"GGGGG","가재마을3단지아파트","GGGGG"
"GGGGG","원주혁신도시 제일풍경채센텀포레","GGGGG"
"GGGGG","남양산역 반도유보라 아이비파크5","GGGGG"
