id,지역본부,사업소명,인접 사업소
118,대구,북포항지사,"영덕지사, 포항지사, 경주지사, 영천지사"
119,대구,성주지사,"김천지사, 칠곡지사, 서대구지사, 고령지사"
120,대구,고령지사,"성주지사, 서대구지사, 남대구지사"
121,대구,김천지사,"칠곡지사, 성주지사, 구미지사, 상주지사"
122,대구,포항지사,"북포항지사, 경주지사"
123,대구,영덕지사,북포항지사
124,대구,청도지사,"남대구지사, 경산지사, 경주지사"
125,대구,울릉지사,울릉지사
126,전북,전북본부직할,"김제지사, 진안지사, 익산지사, 남전주지사"
127,전북,익산지사,"군산지사, 김제지사, 남전주지사, 전북본부직할"
128,전북,남전주지사,"익산지사, 전북본부직할, 진안지사, 임실지사, 정읍지사, 김제지사"
129,전북,진안지사,"전북본부직할, 무주지사, 장수지사, 임실지사, 남전주지사"
130,전북,군산지사,"익산지사, 김제지사"
131,전북,김제지사,"군산지사, 익산지사, 남전주지사, 정읍지사, 부안지사"
132,전북,부안지사,"김제지사, 정읍지사, 고창지사"
133,전북,정읍지사,"김제지사, 남전주지사, 임실지사, 순창지사, 고창지사, 부안지사"
134,전북,고창지사,"부안지사, 정읍지사"
135,전북,순창지사,"정읍지사, 임실지사, 남원지사"
136,전북,임실지사,"남전주지사, 진안지사, 장수지사, 남원지사, 순창지사, 정읍지사"
137,전북,무주지사,"진안지사, 장수지사"
138,전북,장수지사,"무주지사, 진안지사, 임실지사, 남원지사"
139,전북,남원지사,"장수지사, 임실지사, 순창지사"
140,경남,경남본부직할,"밀양지사, 창녕지사, 함안지사, 마산지사, 진해지사"
141,경남,밀양지사,"창녕지사, 경남본부직할"
142,경남,창녕지사,"밀양지사, 경남본부직할, 함안의령지사, 합천지사"
143,경남,합천지사,"거창지사, 산청지사, 의령지사, 창녕지사"
144,경남,거창지사,"함양지사, 합천지사, 산청지사"
145,경남,함양지사,"거창지사, 산청지사,하동지사"
146,경남,산청지사,"함양지사, 합천지사, 진주지사, 하동지사,거창지사"
147,경남,진주지사,"산청지사, 사천지사, 의령지사, 하동지사, 함안지사"
148,경남,하동지사,"함양지사, 산청지사, 진주지사, 사천지사, 남해지사"
149,경남,의령지사,"합천지사, 창녕지사, 함안지사, 진주지사,산청지사"
150,경남,함안지사,"의령지사, 창녕지사, 마산지사, 진주지사"
151,경남,마산지사,"함안지사, 경남본부직할, 고성지사, 진주지사"
152,경남,진해지사,"경남본부직할, 거제지사"
153,경남,사천지사,"하동지사, 진주지사, 고성지사, 남해지사"
154,경남,고성지사,"사천지사, 마산지사, 통영지사,진주지사"
155,경남,통영지사,"고성지사, 거제지사"
156,경남,거제지사,"통영지사, 고성지사"
157,경남,남해지사,"하동지사, 사천지사"
158,부산울산,부산울산본부직할,"중부산지사, 영도지사, 북부산지사, 동래지사, 남부산지사"
159,부산울산,중부산지사,"서부산지사, 부산울산본부직할, 영도지사,북부산지사"
160,부산울산,서부산지사,"김해지사, 북부산지사, 중부산지사"
161,부산울산,북부산지사,"양산지사, 동래지사, 부산울산본부직할, 서부산지사, 김해지사,중부산지사"
162,부산울산,동래지사,"양산지사, 기장지사, 남부산지사, 부산울산본부직할, 북부산지사"
163,부산울산,남부산지사,"기장지사, 동래지사, 부산울산본부직할"
164,부산울산,김해지사,"양산지사, 북부산지사, 서부산지사"
165,부산울산,양산지사,"서울산지사, 기장지사, 동래지사, 북부산지사, 김해지사"
166,부산울산,서울산지사,울산지사
167,부산울산,울산지사,"서울산지사, 동울산지사"
168,부산울산,동울산지사,울산지사
169,부산울산,기장지사,"서울산지사, 양산지사, 동래지사, 남부산지사"
170,부산울산,영도지사,"중부산지사, 부산울산본부직할"
171,광주전남,영광지사,"함평지사,장성지사"
172,광주전남,함평지사,"영광지사,장성지사, 광산지사,나주지사,무안지사"
173,광주전남,무안지사,"함평지사,나주지사,영암지사,목포지사"
174,광주전남,목포지사,"무안지사,영암지사,신안지사"
175,광주전남,신안지사,"목포지사, 진도지사"
176,광주전남,진도지사,"신안지사, 해남지사"
177,광주전남,해남지사,"진도지사, 신안지사, 영암지사,강진지사,완도지사"
178,광주전남,완도지사,해남지사
179,광주전남,강진지사,"해남지사, 영암지사, 장흥지사"
180,광주전남,장흥지사,"강진지사, 영암지사, 화순지사, 보성지사"
181,광주전남,보성지사,"장흥지사, 화순지사, 순천지사, 고흥지사"
182,광주전남,순천지사,"광양지사, 여수지사, 구례지사, 고흥지사, 보성지사"
183,광주전남,여수지사,순천지사
184,광주전남,광양지사,"순천지사, 여수지사, 구례지사"
185,광주전남,구례지사,"광양지사, 순천지사, 곡성지사"
186,광주전남,곡성지사,"구례지사, 순천지사, 화순지사, 담양지사"
187,광주전남,담양지사,"장성지사, 곡성지사, 광주전남본부직할"
188,광주전남,장성지사,"영광지사, 함평지사, 광산지사, 담양지사, 광주전남본부직할"
189,광주전남,광산지사,"서광주지사, 광주전남본부직할"
190,광주전남,나주지사,"함평지사,무안지사,영암지사,화순지사,서광주지사,광산지사"
191,광주전남,영암지사,"나주지사, 강진지사, 목포지사, 무안지사, 화순지사, 장흥지사, 해남지사"
192,광주전남,화순지사,"보성지사,순천지사,곡성지사,광주전남본부직할,서광주지사,나주지사,영암지사,장흥지사,담양지사"
193,광주전남,서광주지사,"광주전남본부직할,광산지사"
194,광주전남,광주전남본부직할,"서광주지사,광산지사"
195,광주전남,고흥지사,보성지사
196,광주전남,제주본부직할,서귀포지사
197,광주전남,서귀포지사,제주본부직할
