"id","전처리전","전처리후","메모"
"1","서울특별시/서울","서울",""
"2","부산광역시/부산","부산",""
"3","대구광역시/대구","대구",""
"4","인천광역시/인천","인천",""
"5","광주광역시/광주","광주",""
"6","대전광역시/대전","대전",""
"7","울산광역시/울산","울산",""
"8","세종특별자치시/세종","세종",""
"9","경기도/경기","경기",""
"10","충청북도/충북","충북",""
"11","충청남도/충남","충남",""
"12","전라남도/전남","전남",""
"13","경상북도/경북","경북",""
"14","경상남도/경남","경남",""
"15","강원특별자치도/강원","강원",""
"16","전북특별자치도/전북","전북",""
"17","제주특별자치도/제주","제주",""
